,furnitured,residential site,heating_system,number_floors,Title,number_rooms,net_area,price,ad_date,district,number_bathroom,county,id,Deposit,building_age,floor_wthn_bldng,total_area
813,Evet,Evet,Doğalgaz (Kombi),12,ULUÇDA JADEDEN YHAVUZLU SİTEDE DOĞALGAZLI MOBİLYALI 3+1 K008560,3+1,150.0,2250 TL,31 Ocak 2019,Arapsuyu,2,Konyaaltı,611659947,Belirtilmemiş,11-15 arası,6,160
814,Hayır,Evet,Klima,9,Alanya cikcilli mah kiralık 1+1 daire,1+1,60.0,1500 TL,04 Şubat 2019,Alanya,1,Alanya,577150458,Belirtilmemiş,5-10 arası,3,70
815,Hayır,,Merkezi (Pay Ölçer),10,Bulvar Lara'da Atilla Güler'den Kiralık,1+1,63.0,2100 TL,05 Şubat 2019,Fener,1,Muratpasa,632552514,Belirtilmemiş,0,4,70
816,Evet,Evet,Doğalgaz (Kombi),4,Konaklarda lüx bahçe katı 3+1 köpek beslenebilir eşyasız verilir,3+1,150.0,2500 TL,29 Ocak 2019,Arapsuyu,2,Konyaaltı,640429183,5.000,4,Bahçe Katı,160
817,Hayır,Hayır,Yok,3,Lego emlaktan Depozito yok 2+1 90 m2 yeni tranway 3 dkka mesafe,2+1,90.0,600 TL,31 Ocak 2019,Sutculer,1,Kepez,654261541,0,3,Yüksek Giriş,98
818,Hayır,Hayır,Kat Kaloriferi,3,VİZYON DAN A.HİSAR DA KİRALIK 3+1 DAİRE,3+1,110.0,800 TL,05 Şubat 2019,Manavgat,1,Manavgat,656555600,Belirtilmemiş,16-20 arası,Çatı Katı,115
819,Hayır,Hayır,Soba,2,CAN İNŞAAT EMLAKTAN DEPOZITOSUZ SÜPER LÜX PLAN DAIREMIZ KAÇMAZ,2+1,110.0,750 TL,30 Ocak 2019,Erenkoy,1,Kepez,653737235,0,0,1,120
820,Evet,Hayır,Klima,2,SORGUN MAH. EŞYALI 2+1 KİRALIK MÜSTAKİL BAHÇELİ HAVUZLU,2+1,80.0,1000 TL,02 Şubat 2019,Manavgat,1,Manavgat,632468985,Belirtilmemiş,5-10 arası,2,90
821,Evet,Hayır,Klima,3,Konyaaltı Toros Mahallesinde Eşyalı 1+1 Kiralık Daire,1+1,45.0,1200 TL,31 Ocak 2019,Merkez,1,Konyaaltı,654671170,1.200,5-10 arası,1,50
822,Belirtilmemiş,Hayır,Klima,4,kiralık daire,2+1,105.0,725 TL,27 Ocak 2019,Erenkoy,1,Kepez,652770066,Belirtilmemiş,5-10 arası,Zemin Kat,120
823,Belirtilmemiş,Hayır,Klima,4,Sahibinden Antalya Kepez Varsakta kiralik daire,3+1,165.0,850 TL,27 Ocak 2019,Varsak,2,Kepez,652816613,Belirtilmemiş,0,2,180
824,Hayır,Hayır,Klima,6,SAHİBİNDEN SÜTÇÜLERDE 2+1 KİRALIK DAİRE,2+1,110.0,850 TL,27 Ocak 2019,Sutculer,1,Kepez,652454343,850,2,2,110
825,Hayır,Evet (Site Adı Belirtilmemiş),Klima,5.0,"GÖKSU TİCARET ODASI ARKA TARAFINDA 3+1 SIFIR,2 BANYOLU SİTE İÇİ ",3 + 1,130 m²,1200.0,2018-12-12 00:00:00,Göksu,2.0,Kepez,75911635,1.200 TL,0.0,4,150 m²
826,Hayır,-,Kombi,11.0,KONYAALTI GÜRSU'DA SİTEİÇİ DENİZ MANZARALI 3+1 ARAKAT DAİRE,3 + 1,135 m²,2000.0,2018-12-13 00:00:00,Gürsu,2.0,Konyaaltı,97965390,,13.0,10,155 m²
827,Evet,Evet (Site Adı Belirtilmemiş),Klima,10.0,TERACTY YAKINI YALI CAD.2+1 EŞYALI KİRALIK DAİRE,2 + 1,90 m²,1500.0,2018-12-13 00:00:00,Çağlayan,1.0,Muratpaşa,43809448,,5.0,Giriş Katı,100 m²
828,Hayır,,Merkezi,12.0,OYAK SİTESİNDE SAHİBİNDEN KİRALIK ŞAHANE DAİRE,2 + 1,110 m²,1100.0,2018-12-13 00:00:00,Kızıltoprak,1.0,Muratpaşa,91736508,1.100 TL,15.0,6,120 m²
829,Evet,,Klima,2.0,Konyaaltı Arapsuyunda Kiralık 3+1 Mobilyalı Daire ,3 + 1,125 m²,2500.0,2018-12-14 00:00:00,Arapsuyu,1.0,Konyaaltı,14451934,2.500 TL,15.0,1,140 m²
830,Hayır,LOFT 32,Klima,3.0,SAHİBİNDEN LARA'da 2+1 SÜPERLÜKS HAVUZLU AYRI MUTFAKLI DAİRE,2 + 1,125 m²,2500.0,2018-12-15 00:00:00,Güzeloba,2.0,Muratpaşa,031872424,,0.0,1,130 m²
831,Hayır,Evet (Site Adı Belirtilmemiş),Kombi,4.0,KONAKLAR KONSEPT SİTE İÇİNDE DA KİRALIK 3+1DAİRE ,3 + 1,Belirtilmemiş ,3499.0,2018-12-15 00:00:00,Molla Yusuf,2.0,Konyaaltı,692541491,3.499 TL,0.0,3,170 m²
832,Evet,Evet (Site Adı Belirtilmemiş),Klima,2.0,"Aslanbucak,ta Havuzlu Site içi 2+1 Eşyalı Kiralık Daire",2 + 1,80 m²,1500.0,2018-12-18 00:00:00,Arslanbucak,1.0,Kemer,95671166,1.500 TL,10.0,2,90 m²
833,Hayır,,Klima,5.0,GÜLENAY EMLAKTAN BAHÇEYAKADA KİRALIK DUBLEX,4 + 2,Belirtilmemiş ,1500.0,2018-12-19 00:00:00,Altınkale,4.0,Döşemealtı,94984304,,2.0,4,260 m²
834,Hayır,,Soba,3.0,KORKUTELİ YENİ MAHALLEDE DOĞU GÜNEY CEPHE 3 KAT 2+1 DAİRE,2 + 1,110 m²,500.0,2018-12-19 00:00:00,Yeni,1.0,Korkuteli,604471121,500 TL,6.0,En Üst Kat,110 m²
835,Hayır,,Yok,4.0,Konyaaltı Öğretmenevi Mah. de Kiralık Dubleks Daire ,2 + 1,150 m²,1400.0,2018-12-20 00:00:00,Öğretmenevleri,2.0,Konyaaltı,14451938,1.400 TL,15.0,3,170 m²
836,Hayır,,Klima,4.0,YEDİKULE'DEN SERA OTEL YANI DENİZE 400 METRE MESAFEDE GENİŞ 1+1,1 + 1,60 m²,750.0,2018-12-20 00:00:00,Güzeloba,1.0,Muratpaşa,60376297,750 TL,20.0,4,70 m²
837,Hayır,,Güneş Enerjisi,3.0,Kepez Sütçülerde Kiralık 2+1 yeni Daire ,2 + 1,80 m²,750.0,2018-12-20 00:00:00,Sütçüler,1.0,Kepez,14451910,800 TL,0.0,2,90 m²
838,Hayır,,Kombi,4.0,ÇAĞLAYANDA HAVUZLU SİTE İÇERİSİNDE 4+1 DUBLEKS KİRALIK,4 + 1,175 m²,2650.0,2018-12-21 00:00:00,Çağlayan,3.0,Muratpaşa,43809483,,5.0,4,180 m²
839,Hayır,,Güneş Enerjisi,5.0,ALANYA CİKCİLLİDE SIFIR BINADA KİRALIK 1+1 DAİRE,1 + 1,55 m²,800.0,2018-12-24 00:00:00,Cikcilli,1.0,Alanya,98706200,800 TL,0.0,4,56 m²
840,Hayır,,Klima,2.0,NİRVANA'DAN KAŞ ÇERÇİLER'DE KİRALIK 1+1 EŞYALI DAİRE,1 + 1,Belirtilmemiş ,1250.0,2018-12-24 00:00:00,Andifli,1.0,Kaş,5401749,800 TL,5.0,1,50 m²
841,Hayır,,Klima,3.0,kemerağzı mah. ilkokul karşısı 3+1 140m2 ayrı mutfaklı,3 + 1,Belirtilmemiş ,550.0,2018-12-25 00:00:00,Kemerağzı,1.0,Aksu,36482730,600 TL,8.0,1,140 m²
842,Hayır,,Soba,5.0,Soğukusu cçaddesinde 4. kat,3 + 1,130 m²,900.0,2018-12-25 00:00:00,Güvenlik,1.0,Muratpaşa,68106122,800 TL,25.0,4,140 m²
843,Hayır,,Soba,3.0,Gülverende eşyalı zemin daire,2 + 1,70 m²,750.0,2018-12-26 00:00:00,Gülveren,1.0,Kepez,68106123,750 TL,15.0,Zemin,80 m²
844,Hayır,,Klima,,GÜZELOBA RUS OKULU YAKININDA 1+1 LÜKS EŞYALI KİRALIK DAİRE,1 + 1,55 m²,1350.0,2018-12-27 00:00:00,Güzeloba,1.0,Muratpaşa,43809490,,1.0,,60 m²
845,Evet,,Klima,2.0,MERKEZ AKDENIZ CD FULL EŞYA BAKIMLI APART DA.,1 + 1,70 m²,1500.0,2018-12-27 00:00:00,Yeni,1.0,Kemer,38288567,3.000 TL,15.0,2,90 m²
846,Hayır,,Klima,6.0,ALANYA CUMHURİYET MAHALLESİN'DE KİRALİK 3+1 LÜKS DAİRE,3 + 1,Belirtilmemiş ,2800.0,2018-12-28 00:00:00,Cumhuriyet,2.0,Alanya,85583408,,1.0,4,165 m²
847,Evet,,Klima,4.0,ANTALYA MANAVGAT SİDE DE KİRALIK DUBLEKS DAİRE,3 + 1,Belirtilmemiş ,1500.0,2018-12-28 00:00:00,Side,1.0,Manavgat,63613384,,10.0,2,135 m²
848,Evet,Evet (Site Adı Belirtilmemiş),Klima,5.0,"ALANYA KESTEL , 1+1 LÜKS SİTE İÇİNDE EŞYALI KİRALIK DAİRE.",1 + 1,65 m²,1500.0,2018-12-28 00:00:00,Kestel,1.0,Alanya,85583269,1.500 TL,5.0,3,70 m²
849,Hayır,,Belirtilmemiş,4.0,HURMA'da 3+1 ULTRALÜKS SİTE İÇİ EŞYALI DUBLEKS,3 + 1,Belirtilmemiş ,2000.0,2018-12-29 00:00:00,Hurma,2.0,Konyaaltı,179698329,,4.0,4,140 m²
850,Evet,,Klima,4.0,ÜNİVERSİTEYE ÇOK YAKIN 1+0 EŞYALI APART,1 + 0,35 m²,700.0,2018-12-31 00:00:00,Gülveren,1.0,Kepez,10360248,,15.0,Kot 2,40 m²
851,Hayır,,Yok,4.0,KONYAALTI LİMAN'DA 4+1 DUBLEKS KİRALIK 1750TL,4 + 1,140 m²,1750.0,2019-01-01 00:00:00,Liman,2.0,Konyaaltı,524311202,1.750 TL,10.0,4,150 m²
852,Hayır,,Klima,4.0,ANTALYA LARA'DA AYLIK ODA EKONOMİK FIRSAT,1 + 1,Belirtilmemiş ,1299.0,2019-01-01 00:00:00,Çağlayan,1.0,Muratpaşa,015868340,,15.0,1,23 m²
853,Hayır,,Klima,3.0,LARA GÜZELOBA RAUF DENKTAŞTA KİRALIK 3+1 DAİRE,3 + 1,140 m²,2000.0,2019-01-02 00:00:00,Güzeloba,2.0,Muratpaşa,88740140,,0.0,3,150 m²
854,Hayır,,Klima,5.0,SİRİNYALI MAHALLESİNDE 3+1 160M2 KİRALIK DAİRE..,3 + 1,150 m²,1350.0,2019-01-03 00:00:00,Şirinyalı,1.0,Muratpaşa,24694764,1.350 TL,20.0,4,160 m²
855,Evet,Evet (Site Adı Belirtilmemiş),Klima,4.0,Konyaaltı Hurma'da Müstakil Girişli 2+1 Full Eşyalı Daire,2 + 1,80 m²,1300.0,2019-01-05 00:00:00,Hurma,1.0,Konyaaltı,87339760,1.300 TL,3.0,Giriş Katı,85 m²
856,Hayır,Evet (Site Adı Belirtilmemiş),Klima,5.0,Konyaaltı Uncalı'da Kiralık Site İçinde Havuzlu Lüx 5+1 Dublex,5 + 1,300 m²,2750.0,2019-01-06 00:00:00,Uncalı,3.0,Konyaaltı,92814647,,8.0,5,325 m²
857,Hayır,,Klima,3.0,YEDİKULE'DEN SERA OTEL YANI DENİZE 400 METRE MESAFEDE GENİŞ 2+1,2 + 1,Belirtilmemiş ,900.0,2019-01-07 00:00:00,Güzeloba,2.0,Muratpaşa,60376289,900 TL,20.0,1,100 m²
858,Hayır,,Klima,1.0,KEPEZ ATATÜRK'DE 3+1 130 M2 KİRALIK SIFIR YÜKSEK GİRİŞ DAİRE ...,3 + 1,125 m²,1000.0,2019-01-07 00:00:00,Atatürk,1.0,Kepez,90618820,1.000 TL,0.0,Yüksek Giriş,135 m²
859,Hayır,ÜLKER,Kombi,9.0,Fener Mah.de Denize Sıfır Kiralık 3+1 Daire ,3 + 1,175 m²,4500.0,2019-01-07 00:00:00,Fener,2.0,Muratpaşa,72278370,4.500 TL,15.0,2,190 m²
860,Hayır,,Soba,3.0,KORKUTELİ MERKEZDE AMERİKAN MUTFAK LÜXS 3 KAT 2+1 DAİRE,2 + 1,80 m²,550.0,2019-01-08 00:00:00,Yeni,1.0,Korkuteli,604471082,,3.0,3,90 m²
861,Hayır,Evet (Site Adı Belirtilmemiş),Klima,2.0,RW EKİNCİ'DEN ANTALYA-R.DENKTAŞDA 2+1 SİTE İÇİNDE DAİRELER,2 + 1,Belirtilmemiş ,2250.0,2019-01-08 00:00:00,Güzelbağ,1.0,Muratpaşa,72278286,2.250 TL,0.0,1,110 m²
862,Evet,,Klima,4.0,STONE'DAN YÜZME HAVUZLU SİTEDE KATTA 1+1 MOBİLYALI,1 + 1,55 m²,1100.0,2019-01-09 00:00:00,Hurma,1.0,Konyaaltı,25004058,,5.0,Ara Kat,60 m²
863,Evet,,Klima,4.0,KONYAALTI HURMA'DA KİRALIK 1+1 EŞYALI DAİRE ,1 + 1,60 m²,1100.0,2019-01-09 00:00:00,Hurma,1.0,Konyaaltı,99578188,1.100 TL,4.0,1,65 m²
864,Hayır,,Klima,7.0,Deniz Mah. Güllük Telekom Arkası Asansörlü Kiralık 2+1 Daire ,3 + 1,125 m²,1750.0,2019-01-09 00:00:00,Deniz,1.0,Muratpaşa,14451946,1.750 TL,30.0,7,140 m²
865,Evet,Evet (Site Adı Belirtilmemiş),Klima,4.0,STONE'DAN HURMADA FITNES SAUNA FUL SİTEDE MOBİLYALI TEMİZ 2+1,2 + 1,95 m²,2000.0,2019-01-09 00:00:00,Hurma,1.0,Konyaaltı,25004059,,2.0,4,100 m²
866,Hayır,orkide evleri,Klima,3.0,Arapsuyunda Sitede 5+1 Kiralık Dubleks ,5 + 1,225 m²,2500.0,2019-01-09 00:00:00,Arapsuyu,3.0,Konyaaltı,14451945,2.500 TL,10.0,3,250 m²
867,Evet,,Klima,4.0,KONYAALTI HURMA'DA 1+1 EŞYALI YÜKSEK GİRİŞ DAİRE ,1 + 1,55 m²,900.0,2019-01-09 00:00:00,Hurma,1.0,Konyaaltı,99578189,900 TL,4.0,Yüksek Giriş,60 m²
868,Hayır,,Klima,,ALANYA -CUMHURİYET MH'SİNDE FULL EŞYASI 1+1 DAİRE,1 + 1,Belirtilmemiş ,1300.0,2019-01-10 00:00:00,Cumhuriyet,1.0,Alanya,448022961,,20.0,,70 m²
869,Evet,Evet (Site Adı Belirtilmemiş),Klima,2.0,GÜZELOBA'DA PRESTİJLİ SİTEDE EŞYALI KİRALIK LÜX 2+1 ,2 + 1,90 m²,2250.0,2019-01-10 00:00:00,Güzeloba,2.0,Muratpaşa,360644216,2.250 TL,3.0,Giriş Katı,110 m²
870,Hayır,Doruk,Klima,3.0,Uncalı da 1+1 Site içinde Kiralık daire ,1 + 1,75 m²,900.0,2019-01-10 00:00:00,Uncalı,1.0,Konyaaltı,360644217,900 TL,4.0,Yüksek Giriş,80 m²
871,Hayır,,Klima,,İSMET GÖKŞEN CADDESİ ÜZERİ 150MT !,3 + 1,130 m²,1600.0,2019-01-10 00:00:00,Şirinyalı,2.0,Muratpaşa,52883103,,18.0,,150 m²
872,Hayır,,Klima,,ÜNAL'DAN DOKUMA ÖZGÜRLÜK'TE 1+1 EŞYALI KİRALIK DAİRE,1 + 1,50 m²,750.0,2019-01-10 00:00:00,Özgürlük,1.0,Kepez,90618833,,20.0,,60 m²
873,Hayır,Evet (Site Adı Belirtilmemiş),Klima,4.0,ATRIUM dan Konyaaltı Sarısu Kiralık 2+1 Sitede K.Otoparklı Havuz,2 + 1,100 m²,1300.0,2019-01-10 00:00:00,Sarısu,1.0,Konyaaltı,67071287,1.300 TL,0.0,1,110 m²
874,Hayır,,Klima,5.0,Kepez Belediyesi yakını Ana cadde üzeri 2+1 kiralık ofis katları,2 + 1,100 m²,1500.0,2019-01-11 00:00:00,Etiler,1.0,Muratpaşa,101221167,,3.0,1,100 m²
875,Evet,Evet (Site Adı Belirtilmemiş),Klima,7.0,ANTALYA LÜKS SİTEDE FULL EŞYALI HAVUZ MANZARALI LÜKS DAİRE ,1 + 1,Belirtilmemiş ,1200.0,2019-01-11 00:00:00,Altınova Orta,1.0,Kepez,94744606,1.200 TL,2.0,3,60 m²
876,Hayır,Evet (Site Adı Belirtilmemiş),Kombi,5.0,DETAYLI BİLGİ İÇİN ARAYINIZ,2 + 1,70 m²,1100.0,2019-01-11 00:00:00,Liman,1.0,Konyaaltı,1013636,,10.0,Bahçe Katı,80 m²
877,Hayır,,Klima,4.0,"kepez kütükçüde 2+1 1.kat 85m2, ayrı mutfaklı sıfır, otopark",2 + 1,Belirtilmemiş ,650.0,2019-01-12 00:00:00,Kütükçü,1.0,Kepez,36482585,650 TL,0.0,2,85 m²
878,Hayır,,Klima,,KİRALIK FULL ESYALI MERKEZ DE ,2 + 1,100 m²,1200.0,2019-01-12 00:00:00,Çaybaşı,1.0,Muratpaşa,032608487,,5.0,,100 m²
879,Hayır,,Kombi,,Sahibinden Eşyalı Kiralik Daire ,3 + 1,80 m²,1150.0,2019-01-12 00:00:00,Çıplaklı,2.0,Döşemealtı,032613418,,5.0,,110 m²
880,Hayır,,Klima,,sahibinden 3+1 denize sıfır daire,3 + 1,175 m²,550.0,2019-01-12 00:00:00,Hasyurt,2.0,Finike,032609801,,5.0,,175 m²
881,Evet,,Klima,15.0,YAĞIZ'DAN KUNDU ALTINTAŞ MAH.FUL EŞYALI 1+1,1 + 1,Belirtilmemiş ,1500.0,2019-01-12 00:00:00,Altıntaş,1.0,Aksu,102121163,1.500 TL,5.0,13,70 m²
882,Hayır,Evet (Site Adı Belirtilmemiş),Klima,4.0,Konyaaltında Full Eşyalı 2+1 Daire,2 + 1,70 m²,1400.0,2019-01-12 00:00:00,Hurma,1.0,Konyaaltı,18201342,1.500 TL,2.0,2,80 m²
883,Hayır,,Klima,4.0,ÜNİVERSİTE TIP OTOGAR YAKINI ASANSÖRLÜ EŞYALI KİRALIK DAİRE,1 + 1,50 m²,1000.0,2019-01-12 00:00:00,Kültür,1.0,Kepez,032608966,1.000 TL,5.0,3,60 m²
884,Hayır,,Klima,4.0,SEMA YAZAR KARŞISI TEMIZ ARA KAT BAKIMLI DAİRE ,2 + 1,85 m²,700.0,2019-01-13 00:00:00,Kızılarık,1.0,Muratpaşa,102121167,700 TL,8.0,3,95 m²
885,Hayır,,Klima,4.0,ETİLER'DE KİRALIK DAİRE,2 + 1,90 m²,1000.0,2019-01-13 00:00:00,Etiler,1.0,Muratpaşa,524311208,,0.0,2,100 m²
886,Hayır,Evet (Site Adı Belirtilmemiş),Klima,5.0,ALANYA CİKCİLLİDE ULTRA LÜX SİTE İÇERSİNDE KİRALIK 2+1 DAİRE,2 + 1,95 m²,1750.0,2019-01-13 00:00:00,Cikcilli,2.0,Alanya,8873425,1.750 TL,4.0,2,105 m²
887,Hayır,,Klima,5.0,GÜRSUDA AYRI MUTFAKLI GENİŞ BALKONLU 2+1 YGİRİŞ K008566,2 + 1,100 m²,1100.0,2019-01-14 00:00:00,Gürsu,1.0,Konyaaltı,9969938,,9.0,Yüksek Giriş,110 m²
888,Hayır,,Belirtilmemiş,5.0,HAKAN GAYRİMENKULDEN KARŞIYAKA MAHALLESİNDE KİRALIK DAİRE,2 + 1,90 m²,600.0,2019-01-14 00:00:00,Karşıyaka,1.0,Kepez,43794425,,0.0,3,90 m²
889,Hayır,,Klima,4.0,!.. KÜLTÜR'DE 1+0 KISMEN EŞYALI SON DAİRE AÇIKLAMAYI OKUYUNUZ..!,1 + 0,35 m²,650.0,2019-01-14 00:00:00,Kültür,1.0,Kepez,88509526,650 TL,6.0,2,40 m²
890,Hayır,,Klima,4.0, KONYAALTI LİMAN MAHALLESİNDE MOBİLYALI KİRALI DAİRE,2 + 1,Belirtilmemiş ,1200.0,2019-01-14 00:00:00,Liman,1.0,Konyaaltı,10683431,1.200 TL,10.0,Yüksek Giriş,80 m²
891,Hayır,Tunç residence,Klima,7.0,LARA DÜDENYPARK YAKINI KİRALIK EŞYALI DAİRE,2 + 1,80 m²,1400.0,2019-01-14 00:00:00,Güzeloba,2.0,Muratpaşa,524311209,,7.0,Giriş Katı,90 m²
892,Hayır,Evet (Site Adı Belirtilmemiş),Klima,5.0,KAPEZ DEVLET HAST.YAKINI SİTE İÇİ GÜN ISILI 2+1 LÜKS DAİRE,2 + 1,Belirtilmemiş ,800.0,2019-01-14 00:00:00,Hüsnü Karakaş,1.0,Kepez,92837740,800 TL,1.0,3,100 m²
893,Hayır,Evet (Site Adı Belirtilmemiş),Klima,2.0,DÖŞEMEALTINDA SİTEDE KİRALIK MERKEZİ KLİMALI LÜKS 3+1 DAİRE,3 + 1,180 m²,2300.0,2019-01-14 00:00:00,Altınkale,2.0,Döşemealtı,246872909,4.600 TL,12.0,2,235 m²
894,Hayır,GÜRSU,Kombi,8.0,KONYAALTI GÜRSU DENİZ MANZARALI KOMBİLİ FULL EŞYALI SİTE İÇİ 3+1,3 + 1,160 m²,2750.0,2019-01-14 00:00:00,Gürsu,2.0,Konyaaltı,161417551,2.750 TL,20.0,8,170 m²
895,Hayır,,Klima,4.0,ANTALYA ALTINDAĞ MAH. 100.YILA YAKIN EŞYALI KİRALIK 3+1,3 + 1,120 m²,1250.0,2019-01-14 00:00:00,Altındağ,1.0,Muratpaşa,717421696,1.250 TL,25.0,Yüksek Giriş,120 m²
896,Hayır,,Klima,4.0,Aksu Macun da Kiralık 3+1 Daire,3 + 1,190 m²,700.0,2019-01-14 00:00:00,Macun,1.0,Aksu,9730741,,7.0,2,200 m²
897,Hayır,,Klima,6.0,ALANYA CİKCİLLİ KİRALIK 3+1 SIFIR DAİRE,3 + 1,145 m²,1200.0,2019-01-14 00:00:00,Cikcilli,2.0,Alanya,85583390,1.200 TL,0.0,6,145 m²
898,Hayır,,Belirtilmemiş,5.0,HAKAN GAYRİMENKULDEN İLK OTURAN SİZ OLUN KARŞIYAKA MAHALLESİNDE ,2 + 1,90 m²,600.0,2019-01-14 00:00:00,Karşıyaka,1.0,Kepez,43794426,,0.0,2,90 m²
899,Hayır,,Kombi,3.0,ŞİFA HASTANESİ KARŞISI DEPOZİTOSUZ 2+1 KİRALIK DAİRE 600 TL,2 + 1,100 m²,600.0,2019-01-14 00:00:00,Gazi,1.0,Kepez,514182050,,4.0,3,110 m²
900,Hayır,SWEET CORNER 1,Kombi,4.0,"Keyifli Bahçe Katı 2+1 Yeni, Havuzlu Site KİRALIK 1.250 TL",2 + 1,70 m²,1250.0,2019-01-14 00:00:00,Liman,1.0,Konyaaltı,90534526,1.250 TL,1.0,Giriş Katı,75 m²
901,Hayır,,Klima,12.0,Antalyada sarısu mah.170 sokakta kiralık daire,3 + 1,170 m²,1200.0,2019-01-14 00:00:00,Sarısu,2.0,Konyaaltı,163302567,1.350 TL,12.0,Kot 3,185 m²
902,Hayır,Evet (Site Adı Belirtilmemiş),Yok,5.0,Konyaaltı Hurma'da Kiralık 3+1 140m2 4.Katta Daire,3 + 1,140 m²,1100.0,2019-01-15 00:00:00,Hurma,1.0,Konyaaltı,87339771,1.100 TL,15.0,4,145 m²
903,Hayır,,Klima,4.0,Antalya Fener Mah.' de Muhteşem Deniz Manzaralı Kiralık Daire,3 + 1,230 m²,3750.0,2019-01-15 00:00:00,Fener,3.0,Muratpaşa,81838881,,20.0,4,250 m²
904,Hayır,,Klima,5.0,ANTALYA ÇAĞLAYAN MAH. KİRALIK 3+1 DAİRE,3 + 1,120 m²,2500.0,2019-01-15 00:00:00,Çağlayan,1.0,Muratpaşa,81838880,,0.0,1,140 m²
905,Hayır,Evet (Site Adı Belirtilmemiş),Kombi,7.0,Uncalida Sitede Dogalgazli 3+1 145m2 Bakimli 2000tl,3 + 1,135 m²,2000.0,2019-01-15 00:00:00,Uncalı,1.0,Konyaaltı,89121120,2.000 TL,10.0,6,150 m²
906,Hayır,,Klima,4.0,KONYAALTI GÜRSU MERKEZİNDE PARK MANZARALI 2+1,2 + 1,85 m²,1200.0,2019-01-15 00:00:00,Gürsu,1.0,Konyaaltı,161417554,1.200 TL,8.0,2,100 m²
907,Evet,Evet (Site Adı Belirtilmemiş),Klima,4.0,Konyaaltı Hurma'da Kiralık 1+1 Full Eşyalı Daire,1 + 1,60 m²,1500.0,2019-01-15 00:00:00,Hurma,1.0,Konyaaltı,87339772,2.000 TL,4.0,3,65 m²
908,Hayır,Evet (Site Adı Belirtilmemiş),Klima,11.0,KONYAALTI HURMA' DA HAVUZLU SİTE İÇERİSİNDE KİRALIK DAİRE,2 + 1,80 m²,2300.0,2019-01-15 00:00:00,Hurma,2.0,Konyaaltı,81838867,,0.0,8,90 m²
909,Hayır,,Klima,10.0,GÜZELOBA MAH. BAKIMLI DENİZ MANZARALI KİRALIK DAİRE,2 + 1,Belirtilmemiş ,1800.0,2019-01-15 00:00:00,Güzeloba,1.0,Muratpaşa,81838849,,20.0,4,145 m²
910,Evet,Evet (Site Adı Belirtilmemiş),Klima,5.0,KAHYAOĞLUNDAN ÇAĞLAYANDA HAVUZLU SİTEDE LÜX MOBİLYALI 2+1 DAİRE,2 + 1,110 m²,2750.0,2019-01-15 00:00:00,Çağlayan,2.0,Muratpaşa,53141595,,5.0,1,120 m²
911,Hayır,,Klima,3.0,YEŞİLYURT MAH. KİRALIK 3+1 ARA KAT,3 + 1,140 m²,900.0,2019-01-15 00:00:00,Yeşilyurt,1.0,Kepez,88509528,,15.0,Ara Kat,140 m²
912,Hayır,Evet (Site Adı Belirtilmemiş),Klima,15.0,Meltem de üniversite hastane ve adliye yakını kiralık daire,3 + 1,125 m²,1200.0,2019-01-16 00:00:00,Meltem,1.0,Muratpaşa,24694766,,25.0,15,140 m²
913,Evet,Evet (Site Adı Belirtilmemiş),Klima,5.0,Kasımoğlu Ümit Emlak'tan Kiralık Lüx Sıfır Eşyalı 2+1 Daire,2 + 1,90 m²,2500.0,2019-01-16 00:00:00,Kestel,2.0,Alanya,709191987,2.500 TL,4.0,3,100 m²
914,Evet,,Belirtilmemiş,2.0,Göynükde ALTUNER EMLAKtan ögrenciye kiralik 2+1 esyali daire,2 + 1,Belirtilmemiş ,950.0,2019-01-16 00:00:00,Göynük,2.0,Kemer,9380859,,15.0,2,80 m²
915,Evet,,Klima,4.0,BAYINDIR MAH.EŞYALI 1+1 KİRALIK DAİRE,1 + 1,40 m²,850.0,2019-01-16 00:00:00,Bayındır,1.0,Muratpaşa,6463398,850 TL,20.0,Giriş Katı,50 m²
916,Evet,,Klima,3.0,AÇIKLAMAYI OKUYUNUZ 700 'DEN BAŞLIYAN FİYATLAR ....! YENİDOĞANDA,2 + 0,45 m²,850.0,2019-01-16 00:00:00,Yeni Doğan,1.0,Kepez,88509524,750 TL,1.0,Yüksek Giriş,50 m²
917,Hayır,,Klima,15.0,Meltem de adliye tapu Akdeniz ünv. ve hastane yakını kiralık,3 + 1,120 m²,1400.0,2019-01-16 00:00:00,Meltem,1.0,Muratpaşa,24694767,,25.0,4,135 m²
918,Evet,Evet (Site Adı Belirtilmemiş),Klima,4.0,ATRIUMDAN FULL LÜX EŞYALI GÜVENLİKLİ ÇİFT HAVUZLU RESİDENCE,2 + 1,85 m²,1500.0,2019-01-16 00:00:00,Hurma,1.0,Konyaaltı,67071294,,3.0,1,100 m²
919,Hayır,,Klima,3.0,GÜZELOBA'da MERKEZİ KONUMDA HAVUZLU SİTE'de SIFIR DAİRE,2 + 1,Belirtilmemiş ,1500.0,2019-01-16 00:00:00,Güzeloba,1.0,Muratpaşa,179698734,,0.0,1,95 m²
920,Hayır,,Soba,3.0,KORKUTELİ YENİ MAHALLEDE MERKEZE YAKIN 3 KAT 3 CEPHELİ 2+1 DAİRE,2 + 1,100 m²,500.0,2019-01-16 00:00:00,Yeni,1.0,Korkuteli,604471176,500 TL,5.0,3,110 m²
