,furnitured,residential site,heating_system,number_floors,Title,number_rooms,net_area,price,ad_date,district,number_bathroom,county,id,Deposit,building_age,floor_wthn_bldng,total_area
26,Evet,Evet,Klima,4,STONE'DAN HURMADA YÜZME HAVUZLU SİTEDE YÜKSEK GİRİŞ 1+1,2+1,55.0,1100 TL,06 Şubat 2019,Merkez,1,Konyaaltı,657356592,1.100,4,Yüksek Giriş,60
27,Evet,Evet,Klima,8,Güzeloba mahallesi 2+1 deniz manzaralı eşyalı kiralık daire.,2+1,88.0,1650 TL,06 Şubat 2019,Lara,1,Muratpasa,657351938,1.650,5-10 arası,7,95
28,Hayır,Evet,Klima,3,ANTALYA KEPEZ GÖÇERLER MAH 2+1 120 M2 SİTEDE KİRALIK DAİRE,2+1,100.0,750 TL,06 Şubat 2019,Erenkoy,1,Kepez,657350846,750,1,3,120
29,Evet,Evet,Klima,4,HAMAM SANUNA KAPALI HAVUZLU LÜX SİTE İÇERİSİNDE 2+1 FUL EŞYALI,2+1,115.0,1750 TL,06 Şubat 2019,Merkez,1,Konyaaltı,626444540,Belirtilmemiş,2,2,115
30,Hayır,Hayır,Yok,4,GEBİZLİDE ARA KAT AYRI MUTFAK AYRI WC 2+1 DAİRE 650 TL,2+1,80.0,650 TL,06 Şubat 2019,Kızıltoprak,1,Muratpasa,657335692,650,3,3,90
31,Belirtilmemiş,Hayır,Klima,11,Yeşilbahçede nezih bir sitede kiralık daire,3+1,165.0,2500 TL,06 Şubat 2019,Fener,1,Muratpasa,657333566,Belirtilmemiş,16-20 arası,6,180
32,Hayır,Hayır,Soba,3,EDANUR EMLAKTAN ŞELALE MAH. KIRALIK 3+1 DAIRE,3+1,130.0,750 TL,06 Şubat 2019,Manavgat,1,Manavgat,657330982,Belirtilmemiş,11-15 arası,2,135
33,Hayır,,Kat Kaloriferi,11,ESKİ LARA YOLU SAHİL BANDINDA DOĞALGAZLI 3+1 KİRALIK DAİRE,3+1,150.0,2500 TL,06 Şubat 2019,Fener,2,Muratpasa,657324626,Belirtilmemiş,16-20 arası,1,160
34,Hayır,Hayır,Klima,5,Soğuksu Da Yuksek Giris Fiyat Dustu,2+1,90.0,650 TL,06 Şubat 2019,Meltem,1,Muratpasa,487823821,Belirtilmemiş,21-25 arası,Zemin Kat,90
35,Hayır,Hayır,Klima,4,BARBAROS CADDESİNDE ASANSÖRLÜ SIFIR DAİRELER,2+1,100.0,750 TL,06 Şubat 2019,Manavgat,1,Manavgat,633149118,Belirtilmemiş,0,2,120
