,Aidat (TL),Balkon,Banyo Sayısı,Bina Yaşı,Bulunduğu Kat,Depozito (TL),Eşyalı,Isıtma,Kat Sayısı,Kullanım Durumu,Oda Sayısı,Site İçerisinde,ad_link,ad_title,county,district,id,m² (Brüt),m² (Net),price,seller_link,seller_name,İlan No,İlan Tarihi
208,Belirtilmemiş,Var,2,0,1,Belirtilmemiş,Hayır,Kat Kaloriferi,3,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-kiralik-3-plus1luks-daire-655348997/detay,sahibinden kiralık 3+1LUKS DAIRE,Kepez,Varsak,655348997,130,130.0,750 TL,from owner,from owner,655348997,05 Şubat 2019
209,Belirtilmemiş,Var,3,0,Bahçe Katı,Belirtilmemiş,Hayır,Doğalgaz (Kombi),3,Kiracılı,4+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-konyaalti-uncali-da-lux-yeni-sitede-kiralik-4-plus1-bahce-dublex-488912062/detay,KONYAALTI UNCALI DA LUX YENİ SİTEDE KİRALIK 4+1 BAHÇE DUBLEX,Konyaaltı,Arapsuyu,488912062,240,225.0,3500 TL,https://realeksper.sahibinden.com/,REAL EKSPER EMLAK,488912062,06 Şubat 2019
210,120,Var,1,2,Yüksek Giriş,1.200,Evet,Klima,1,Boş,1+1,Evet,https://www.sahibinden.com/ilan/emlak-konut-kiralik-seda-afyoncudan-kundu-oteller-bolgesi-baslangicinda-havuzlu-1-plus1-657150050/detay,SEDA AFYONCUDAN KUNDU OTELLER BÖLGESİ BAŞLANGICINDA HAVUZLU 1+1,Muratpasa,Lara,657150050,55,45.0,1200 TL,https://rekorgayrimenkul.sahibinden.com/,REKOR GAYRİMENKUL,657150050,06 Şubat 2019
211,30,Var,1,26-30 arası,1,1.300,Hayır,Klima,6,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-genclik-mah-ramada-otel-karsisi-2-plus1%2C120-m2-kiralik-daire-657146904/detay,"GENÇLİK MAH. RAMADA OTEL KARŞISI, 2+1,120 M2, KİRALIK DAİRE",Muratpasa,Genclik,657146904,120,110.0,1300 TL,https://ayyildizinsaatemlak.sahibinden.com/,AYYILDIZ İNŞAAT & EMLAK,657146904,06 Şubat 2019
212,Belirtilmemiş,Var,1,21-25 arası,3,Belirtilmemiş,Hayır,Doğalgaz (Kombi),4,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-dokuma-ulus-mh-gazi-bul-mevki-katta-kiralik-dogalgazli-3-plus1-daire-656690242/detay,DOKUMA ULUS MH GAZİ BUL MEVKİ KATTA KİRALIK DOĞALGAZLI 3+1 DAİRE,Kepez,Dokuma,656690242,130,115.0,850 TL,https://mekanemlakantalya.sahibinden.com/,MEKAN EMLAK,656690242,05 Şubat 2019
213,0,Var,2,2,3,1.750,Hayır,Klima,8,Boş,4+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-uncali-2m-migros-karsisi-havuzlu-4-plus1-200-m2-1750-tl-657142521/detay,UNCALI 2M MİGROS KARŞISI HAVUZLU 4+1 200 m2 1750 TL,Konyaaltı,Arapsuyu,657142521,230,200.0,1750 TL,https://ayazgayrimenkulantalya.sahibinden.com/,Ayaz gayrimenkul,657142521,06 Şubat 2019
214,Belirtilmemiş,Var,1,11-15 arası,3,Belirtilmemiş,Hayır,Klima,3,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-alanya-oba-gol-bolgesinde-kiralik-daire-657137260/detay,ALANYA OBA GÖL BÖLGESİNDE KİRALIK DAİRE,Alanya,Beldeler,657137260,120,115.0,1000 TL,https://eurohomesalanya.sahibinden.com/,EURO HOMES ALANYA,657137260,06 Şubat 2019
215,20,Var,2,5-10 arası,2,1.500,Evet,Klima,3,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-meslek-yuksek-okulu-karsisinda-ahibinden-kiralik-esyali-656459931/detay,Meslek Yuksek Okulu karsisinda ahibinden kiralık eşyalı,Muratpasa,Meltem,656459931,100,90.0,1500 TL,from owner,from owner,656459931,05 Şubat 2019
216,Belirtilmemiş,Var,2,0,7,Belirtilmemiş,Hayır,Yerden Isıtma,9,Boş,3+1,Evet,https://www.sahibinden.com/ilan/emlak-konut-kiralik-deniz-manzarali-kiralik-sifir-daire-633518312/detay,DENİZ MANZARALI KİRALIK SIFIR DAİRE,Muratpasa,Lara,633518312,150,150.0,5500 TL,https://astekemlak.sahibinden.com/,Astek Emlak İnşaat,633518312,06 Şubat 2019
217,Belirtilmemiş,Var,1,1,2,Belirtilmemiş,Evet,Klima,5,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden.okula-5-dakika-1-plus1-esyali-lux-daire-623610411/detay,SAHİBİNDEN.OKULA 5 DAKİKA 1+1 EŞYALI LÜX DAİRE,Kepez,Ahatlı,623610411,40,35.0,1200 TL,https://uniturizmemlak.sahibinden.com/,CAMPUS DE LUXE İNŞAAT & EMLAK,623610411,05 Şubat 2019
218,0,Var,1,1,12,0,Evet,Doğalgaz (Kombi),15,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-ukrayna-odessa-arkadiya-da-guvenlikli-lux-site-de-tatli-daire-656530543/detay,UKRAYNA ODESSA ARKADİYA DA GÜVENLİKLİ LÜX SİTE DE TATLI DAİRE,Muratpasa,Lara,656530543,80,70.0,2590 TL,https://leisgayrimenkul.sahibinden.com/,LEİS GAYRİMENKUL,656530543,05 Şubat 2019
219,Belirtilmemiş,Var,1,1,1,900,Evet,Klima,4,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-kulturde-esyali-esyasiz-1-plus1-656503341/detay,kültürde eşyali- esyasiz 1+1,Kepez,Ahatlı,656503341,70,55.0,900 TL,from owner,from owner,656503341,04 Şubat 2019
220,1,Var,1,2,Yüksek Giriş,650,Hayır,Klima,5,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-hastane-yakini-kiralik-genis-giris-daire-656509902/detay,HASTANE YAKINI KİRALIK GENİŞ GİRİŞ DAİRE,Kepez,Sutculer,656509902,115,100.0,650 TL,https://azizemlak.sahibinden.com/,AZİZ EMLAK,656509902,04 Şubat 2019
221,100,Var,1,5-10 arası,Giriş Katı,800,Hayır,Klima,4,Kiracılı,1+1,,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sarisuda-3-bloklu-sitede-1-plus1-giris-kat-kiralik-bos-daire-656967476/detay,SARISUDA 3 BLOKLU SİTEDE 1+1 GİRİŞ KAT KİRALIK BOŞ DAİRE,Konyaaltı,Arapsuyu,656967476,65,58.0,750 TL,https://eurexgayrimenkul.sahibinden.com/,EUREX GAYRİMENKUL VE YATIRIM DANIŞMANLIĞI,656967476,05 Şubat 2019
222,160,Var,2,0,9,1.000,Hayır,Klima,10,Boş,2+1,,https://www.sahibinden.com/ilan/emlak-konut-kiralik-mahmutlarda-kiralik-2-plus1-ultra-lux-daireler-656482898/detay,MAHMUTLARDA KİRALIK 2+1 ULTRA LÜX DAİRELER,Alanya,Alanya,656482898,135,120.0,1000 TL,https://etkiyapigayrimenkul.sahibinden.com/,ETKİ YAPI GAYRİMENKUL,656482898,04 Şubat 2019
223,Belirtilmemiş,Var,1,0,5,Belirtilmemiş,Hayır,Yok,5,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-yeni-mahallede-kiralik-3-plus1-sifir-daire-639474777/detay,Yeni mahallede kiralık 3+1 sıfır daire,Finike,Finike,639474777,150,150.0,1000 TL,https://aydinemlakfinike.sahibinden.com/,AYDIN EMLAK FİNİKE,639474777,04 Şubat 2019
224,20,Var,1,4,2,700,Hayır,Klima,3,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-m.akif-ersoy-mah-2-plus1-90m2-asansorlu-gunisili-ara-kat-daire-656949527/detay,M.AKİF ERSOY MAH. 2+1 90M2 ASANSÖRLÜ GÜNISILI ARA KAT DAİRE,Kepez,Sutculer,656949527,90,75.0,700 TL,https://akaremlakantalya.sahibinden.com/,AKAR EMLAK ANTALYA,656949527,05 Şubat 2019
225,Belirtilmemiş,Var,2,0,2,Belirtilmemiş,Hayır,Doğalgaz (Kombi),4,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-konyaalti-uncli-konaklarida-3-plus1-ultra-lux-643787688/detay,KONYAALTI UNCLI KONAKLARIDA 3+1 ULTRA LÜX,Konyaaltı,Arapsuyu,643787688,190,170.0,3500 TL,https://cihanemlakgayrimenkulantalya.sahibinden.com/,CİHAN EMLAK GAYRİMENKUL,643787688,05 Şubat 2019
226,Belirtilmemiş,Var,2,11-15 arası,9,Belirtilmemiş,Hayır,Klima,10,Boş,3+1,Evet,https://www.sahibinden.com/ilan/emlak-konut-kiralik-3-plus1-165-m2-138694737/detay,3+1 165 m2,Konyaaltı,Arapsuyu,138694737,165,165.0,1100 TL,https://svgoksu.sahibinden.com/,SV GÖKSU REAL ESTATE,138694737,06 Şubat 2019
227,100,Var,1,3,5,1.000,Evet,Klima,9,Boş,1+1,,https://www.sahibinden.com/ilan/emlak-konut-kiralik-site-icersinde-full-esyali-luks-esyali-656933030/detay,Site içersinde full eşyalı lüks eşyalı,Konyaaltı,Arapsuyu,656933030,65,60.0,1000 TL,https://kutuklugayrimenkul.sahibinden.com/,KÜTÜKLÜ GAYRİMENKUL,656933030,05 Şubat 2019
228,20,Var,1,5-10 arası,Kot 3,Belirtilmemiş,Evet,Klima,3,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-esyali-sahibinden-kiralik-daire-dubleksin-cati-kati-550455752/detay,Eşyalı sahibinden kiralık daire dubleksin çatı katı,Muratpasa,Fener,550455752,80,80.0,1250 TL,from owner,from owner,550455752,06 Şubat 2019
229,0,Var,1,0,2,Belirtilmemiş,Hayır,Klima,3,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-muhtesem-ayarda-3-plus1-130m-2.katta-kiralik-daire-614511886/detay,MUHTEŞEM AYARDA 3+1 130m 2.KATTA KIRALIK DAIRE,Kepez,Sutculer,614511886,130,120.0,850 TL,https://tunceremlak07.sahibinden.com/,TUNCER EMLAK,614511886,04 Şubat 2019
230,Belirtilmemiş,Var,1,11-15 arası,Yüksek Giriş,900,Hayır,Klima,6,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-12.cad.meydan-kavagi-kiralik-657347445/detay,12.CAD.MEYDAN KAVAĞI KİRALIK,Muratpasa,Guzeloluk,657347445,100,95.0,900 TL,https://ozantalyaemlakk.sahibinden.com/,ÖZ ANTALYA EMLAK,657347445,06 Şubat 2019
231,Belirtilmemiş,Yok,1,4,2,Belirtilmemiş,Belirtilmemiş,Klima,3,Mülk Sahibi,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-depozitosuz-komisyonsuz-2-plus1-full-esyali-656414384/detay,Sahibinden Depozitosuz Komisyonsuz 2+1 full eşyalı.,Kepez,Dokuma,656414384,100,90.0,1500 TL,from owner,from owner,656414384,04 Şubat 2019
232,Belirtilmemiş,Var,1,16-20 arası,1,1.200,Hayır,Yok,3,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-kisla-mh-gulluk-cd-yakini-3-plus1genis-ve-kullanisli-daire-kiralik-640460370/detay,KIŞLA MH. GÜLLÜK CD. YAKINI 3+1GENİŞ VE KULLANIŞLI DAİRE KİRALIK,Muratpasa,Carsı,640460370,160,145.0,1200 TL,https://onogluemlak.sahibinden.com/,ÖNOĞLU EMLAK,640460370,05 Şubat 2019
233,Belirtilmemiş,Var,1,4,Yüksek Giriş,Belirtilmemiş,Hayır,Klima,3,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-ahatli-da-4-cephesi-acik-kose-basi-2-balkonlu-genis-kiralik-3-plus1-656883430/detay,AHATLI'da 4 Cephesi Açık KÖŞE BAŞI 2 Balkonlu Geniş KİRALIK 3+1,Kepez,Ahatlı,656883430,130,120.0,850 TL,https://07sanemlak.sahibinden.com/,07 ŞAN EMLAK,656883430,05 Şubat 2019
234,0,Var,1,2,2,1.200,Evet,Klima,5,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-kultur-de-temiz-2-plus1-esyali-656417304/detay,KÜLTÜR DE TEMİZ 2+1 ESYALI,Kepez,Ahatlı,656417304,100,95.0,1200 TL,from owner,from owner,656417304,04 Şubat 2019
235,50,Var,2,5-10 arası,4,950,Hayır,Klima,5,Boş,2+2,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-alaturka-emlaktan-liman-mah-170m2-dublex-656883432/detay,ALATURKA EMLAKTAN LIMAN MAH 170M2 DUBLEX,Konyaaltı,Arapsuyu,656883432,190,170.0,950 TL,https://alaturkagayrimenkul.sahibinden.com/,ALATURKA GAYRİMENKUL,656883432,05 Şubat 2019
236,Belirtilmemiş,Var,2,0,3,Belirtilmemiş,Hayır,Klima,3,Boş,4+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sifir-lux-4-plus1-dublex-karsiyaka-da-656413315/detay,SIFIR LÜX 4+1 DUBLEX KARŞIYAKA'DA,Kepez,Yeniemek,656413315,140,140.0,1000 TL,https://bekircetintas.sahibinden.com/,Çetintaş İnşaat Gayrimenkul,656413315,04 Şubat 2019
237,25,Var,1,2,Kot 1,1.000,Hayır,Klima,4,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-iyi-konumda-daire-656004295/detay,Sahibinden İyi Konumda Daire,Aksu,Aksu,656004295,105,95.0,800 TL,from owner,from owner,656004295,04 Şubat 2019
238,Belirtilmemiş,Yok,1,16-20 arası,Giriş Katı,Belirtilmemiş,Evet,Soba,4,Boş,Stüdyo (1+0),Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-calli-merkezde-1-plus0-esyali-aciklamalari-okuyun-657264599/detay,ÇALLI MERKEZDE 1+0 EŞYALI (AÇIKLAMALARI OKUYUN),Muratpasa,Eskisanayi,657264599,40,40.0,475 TL,from owner,from owner,657264599,06 Şubat 2019
239,Belirtilmemiş,Var,1,11-15 arası,2,Belirtilmemiş,Hayır,Klima,4,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-kiralik-alanya-sekerhane-mah-nufus-yakin-2-plus1-guney-dogu-cephe-656879093/detay,Kiralık Alanya Şekerhane mah. Nüfüs yakın 2+1 Güney Doğu cephe,Alanya,Alanya,656879093,130,130.0,1100 TL,https://cetinogluinsaatemlak.sahibinden.com/,ÇETİNOĞLU İNŞAAT EMLAK,656879093,05 Şubat 2019
240,30,Var,2,5-10 arası,Kot 3,1.000,Hayır,Klima,3,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-tramvay-duragina-yakin-dubleks-3-plus1-luks-daire-656402192/detay,tramvay duragına yakın dubleks 3+1 lüks daire,Kepez,Yeniemek,656402192,170,150.0,1000 TL,from owner,from owner,656402192,04 Şubat 2019
241,35,Var,1,21-25 arası,6,1.000,Hayır,Klima,7,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-100-yil-caddesi-uzerinde-kiralik-daire-isyeri-varlik-mah-656401243/detay,100. YIL CADDESİ ÜZERİNDE KİRALIK DAİRE / İŞYERİ (VARLIK MAH.),Muratpasa,Bahcelievler,656401243,130,110.0,1000 TL,from owner,from owner,656401243,04 Şubat 2019
242,110,Var,1,4,Bahçe Katı,Belirtilmemiş,Hayır,Klima,3,Boş,1+1,Evet,https://www.sahibinden.com/ilan/emlak-konut-kiralik-uncali-da-1-plus1-900-tl.kiralik-daire-587447124/detay,UNCALI DA 1+1 900 TL.KİRALIK DAİRE,Konyaaltı,Arapsuyu,587447124,75,70.0,900 TL,https://realtyworldcenter.sahibinden.com/,REALTY WORLD CENTER GAYRİMENKUL,587447124,06 Şubat 2019
243,Belirtilmemiş,Var,1,5-10 arası,2,1.000,Hayır,Yok,3,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-kiralik-meydan-da-2-plus1-656396458/detay,SAHİBİNDEN KİRALIK MEYDAN'DA 2+1,Muratpasa,Kızıltoprak,656396458,110,100.0,1000 TL,from owner,from owner,656396458,04 Şubat 2019
244,0,Var,1,5-10 arası,Zemin Kat,Belirtilmemiş,Evet,Klima,4,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-full-plusfull-esyali-guvenlik-mah-metro-yakin-413876142/detay,Full +full. Eşyalı güvenlik mah metro yakın,Muratpasa,Meltem,413876142,45,40.0,750 TL,https://vuralemlakotomotiv.sahibinden.com/,VURAL EMLAK OTOMOTİV,413876142,04 Şubat 2019
245,100,Var,1,5-10 arası,Yüksek Giriş,1.350,Evet,Klima,5,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-liman-mahallesinde-esyali-1-plus1-kiralik-656872790/detay,LİMAN MAHALLESİNDE EŞYALI 1+1 KİRALIK,Konyaaltı,Arapsuyu,656872790,70,70.0,1350 TL,https://antalyaozdemiremlak.sahibinden.com/,Antalya Özdemir Emlak,656872790,05 Şubat 2019
246,50,Var,1,3,3,900,Evet,Klima,4,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-full-esyali-kiralik-daire-1-plus1-katta-internet-mevcut-656402547/detay,FULL EŞYALI KİRALIK DAİRE 1+1 KATTA İNTERNET MEVCUT,Kepez,Ahatlı,656402547,60,50.0,900 TL,https://07hiraemlakinsaatdekorasyon.sahibinden.com/,07 HİRA EMLAK İNŞAAT DEKORASYON,656402547,04 Şubat 2019
247,Belirtilmemiş,Var,1,11-15 arası,2,1.200,Hayır,Doğalgaz (Kombi),3,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-basaran-dan-katta-tek-esyasiz-dogal-gazli-genis-kiralik-daire-656857977/detay,BAŞARAN'DAN KATTA TEK EŞYASIZ DOGAL GAZLI GENİŞ KİRALIK DAİRE,Muratpasa,Meltem,656857977,125,115.0,1200 TL,https://basaranemlakantalya.sahibinden.com/,BAŞARAN EMLAK,656857977,05 Şubat 2019
248,Belirtilmemiş,Var,1,4,Yüksek Giriş,Belirtilmemiş,Hayır,Doğalgaz (Kombi),4,Boş,2+1,Evet,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sam-gayrimenkul-den-caglayanda-ultra-luks-sitede-kiralik-2-plus1-563483863/detay,ŞAM GAYRİMENKUL'DEN ÇAĞLAYANDA ULTRA LÜKS SİTEDE KİRALIK 2+1,Muratpasa,Lara,563483863,75,70.0,2500 TL,https://samgayrimenkul.sahibinden.com/,Şam Gayrimenkul,563483863,04 Şubat 2019
249,50,Var,1,16-20 arası,Kot 3,1.450,Hayır,Klima,4,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-kiralik-656377152/detay,sahibinden kiralık,Muratpasa,Fener,656377152,170,160.0,1450 TL,from owner,from owner,656377152,04 Şubat 2019
250,15,Var,1,1,Giriş Katı,700,Hayır,Klima,3,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-kadi-dan-kizilarikta-kiralik-lux-giris-597770308/detay,KADI'DAN KIZILARIKTA KİRALIK LÜX GİRİŞ,Muratpasa,Yenigun,597770308,90,90.0,700 TL,https://kadiemlK.sahibinden.com/,KADI EMLAK,597770308,04 Şubat 2019
251,150,Var,1,4,2,2.000,Evet,Klima,10,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-hakan-gayrimenkulden-duden-park-yakininda-657278287/detay,HAKAN GAYRİMENKULDEN DÜDEN PARK YAKININDA,Muratpasa,Lara,657278287,100,85.0,2000 TL,https://hakangayrimenkul.sahibinden.com/,HAKAN EMLAK GAYRİMENKUL ANTALYA,657278287,06 Şubat 2019
252,0,Var,1,3,3,Belirtilmemiş,Evet,Klima,4,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-universiteye-yurume-mesafesinde-esyali-kiralik-1-plus1-daire-590030301/detay,ÜNİVERSİTEYE YÜRÜME MESAFESİNDE EŞYALI KİRALIK 1+1 DAİRE,Kepez,Ahatlı,590030301,50,45.0,950 TL,https://antalyaliemlak.sahibinden.com/,ANTALYALI EMLAK,590030301,05 Şubat 2019
253,15,Var,1,21-25 arası,2,Belirtilmemiş,Hayır,Klima,4,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-antalya-muratpasa-hamidiye-caddesinde-3-plus1-arakat-kiralik-daire-656845914/detay,ANTALYA MURATPAŞA HAMİDİYE CADDESİNDE 3+1 ARAKAT KİRALIK DAİRE,Muratpasa,Bahcelievler,656845914,150,140.0,1000 TL,https://antalyaakcayemlakgayrimenkulofisi.sahibinden.com/,ANTALYA AKÇAY EMLAK GAYRİMENKUL OFİSİ,656845914,05 Şubat 2019
254,20,Yok,1,11-15 arası,5,Belirtilmemiş,Evet,Klima,5,Mülk Sahibi,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-konyaltinda-evsicakliginda-lux-yeniesyali-fakulteye-yurumemesafe-541029503/detay,KONYALTINDA EVSICAKLIĞINDA LÜX YENİEŞYALI FAKÜLTEYE YÜRÜMEMESAFE,Konyaaltı,Arapsuyu,541029503,150,,1600 TL,https://mehmetuyaremlak.sahibinden.com/,MEHMET UYAR EMLAK,541029503,04 Şubat 2019
255,10,Var,1,4,2,650,Hayır,Klima,3,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-cozumden-yeni-emek-mahallesinde-2-plus1-95-m2-kiralik-daire-656370379/detay,ÇÖZÜMDEN YENİ EMEK MAHALLESİNDE 2+1 95 M2 KİRALIK DAİRE,Kepez,Yeniemek,656370379,110,95.0,650 TL,https://cozumgayrimenkulantalya.sahibinden.com/,ÇÖZÜM GAYRİMENKUL,656370379,04 Şubat 2019
256,Belirtilmemiş,Var,2,5-10 arası,Giriş Katı,650,Hayır,Klima,2,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-altinova-orta-mahalle-de-mall-of-a-yurume-mesafesinde-temiz-2-plus1-657272413/detay,ALTINOVA ORTA MAHALLE'DE MALL OF'A YÜRÜME MESAFESİNDE TEMİZ 2+1,Kepez,Merkez,657272413,90,80.0,650 TL,https://orkunuzunoglu.sahibinden.com/,Orkun Uzunoğlu Gayrimenkul,657272413,06 Şubat 2019
257,30,Var,1,3,2,Belirtilmemiş,Hayır,Klima,4,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-kiziltoprak-ta-tranvaya-3-dakika-3-plus1-130-m2-temiz-daire-arakat-657263720/detay,KIZILTOPRAK TA TRANVAYA 3 DAKİKA 3+1 130 M2 TEMİZ DAİRE ARAKAT,Muratpasa,Kızıltoprak,657263720,135,130.0,1150 TL,https://varolgayrimenkul.sahibinden.com/,VAROL GAYRİMENKUL,657263720,06 Şubat 2019
258,Belirtilmemiş,Var,2,5-10 arası,3,1.200,Hayır,Klima,3,Boş,4+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-etiler-mh-plusgunisi-plusankstreli-2-terasli-4-plus1-kiralik-dubleks-daire-657240488/detay,ETİLER MH+GÜNISI+ANKSTRELİ 2 TERASLI 4+1 KİRALIK DUBLEKS DAİRE,Muratpasa,Eskisanayi,657240488,200,200.0,1200 TL,https://07antalyagayrimenkul.sahibinden.com/,07 ANTALYA EMLAK,657240488,06 Şubat 2019
259,Belirtilmemiş,Var,1,21-25 arası,3,1.000,Hayır,Klima,4,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-aypak-emlaktan-calli-sedirde-140m-3-plus1-kiralik-daire-656833808/detay,AYPAK EMLAKTAN ÇALLI SEDİRDE 140m 3+1 KİRALIK DAİRE,Muratpasa,Eskisanayi,656833808,145,140.0,1000 TL,https://aypakgayrimenkul.sahibinden.com/,AYPAK EMLAK,656833808,05 Şubat 2019
260,Belirtilmemiş,Var,1,5-10 arası,Yüksek Giriş,Belirtilmemiş,Hayır,Klima,3,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-kepez-kuzeyyaka-mah.2-plus1-guney-cepheli-bahceli-giris-656359429/detay,Kepez Kuzeyyaka mah.2+1 güney cepheli bahçeli giriş,Kepez,Erenkoy,656359429,105,95.0,500 TL,https://aydogmusemlak.sahibinden.com/,AYDOĞMUŞ İNŞAAT EMLAK,656359429,04 Şubat 2019
261,200,Var,2,0,Giriş Katı,Belirtilmemiş,Hayır,Klima,4,Boş,2+1,Evet,https://www.sahibinden.com/ilan/emlak-konut-kiralik-alanya-kestelde-full-aktiviteli-rezidansda-kiralik-bahce-dubleks-656311085/detay,alanya kestelde full aktiviteli rezidansda kiralık bahçe dubleks,Alanya,Beldeler,656311085,140,120.0,1450 TL,from owner,from owner,656311085,04 Şubat 2019
262,Belirtilmemiş,Var,1,5-10 arası,2,Belirtilmemiş,Hayır,Klima,3,Boş,2+1,Evet,https://www.sahibinden.com/ilan/emlak-konut-kiralik-antalya-manavgat-side-de-site-icinde-kiralik-2-plus1-daire-657242560/detay,ANTALYA MANAVGAT SİDE DE SİTE İÇİNDE KİRALIK 2+1 DAİRE,Manavgat,Manavgat,657242560,130,115.0,2000 TL,https://ozturkhomes.sahibinden.com/,Öztürk Homes,657242560,06 Şubat 2019
263,Belirtilmemiş,Var,1,3,2,Belirtilmemiş,Evet,Klima,3,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-konyaaltinda-3-plus1-doga-icinde-super-manzarali-hvzlu-gunluk-150tl-574003103/detay,KONYAALTINDA 3+1 DOĞA İÇİNDE SUPER MANZARALI HVZLU GÜNLÜK 150TL,Konyaaltı,Koyler,574003103,120,110.0,450 TL,https://afsin46emlak.sahibinden.com/,Afşin 46 Emlak,574003103,04 Şubat 2019
264,25,Var,1,16-20 arası,Giriş Katı,1.000,Evet,Klima,4,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-altinkum-da-esyali-kiralik-2-plus1-giris-kat-ters-dubleks-656255390/detay,ALTINKUM'DA EŞYALI KİRALIK 2+1 GİRİŞ KAT TERS DUBLEKS,Konyaaltı,Arapsuyu,656255390,100,100.0,1100 TL,from owner,from owner,656255390,04 Şubat 2019
265,50,Var,1,5-10 arası,2,2.000,Evet,Klima,4,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-hurma-da-2-plus1-luks-daire-656308245/detay,Hurma da 2+1 lüks daire,Konyaaltı,Merkez,656308245,110,85.0,2000 TL,from owner,from owner,656308245,04 Şubat 2019
266,80,Belirtilmemiş,1,3,1,Belirtilmemiş,Evet,Klima,4,Boş,1+1,Evet,https://www.sahibinden.com/ilan/emlak-konut-kiralik-kiralik-1-plus1-esyali-469763167/detay,Kiralik 1+1 esyali,Konyaaltı,Merkez,469763167,65,60.0,1500 TL,https://lookomore.sahibinden.com/,LookOMore,469763167,04 Şubat 2019
